student_id,month,subject,lectures_conducted,lectures_attended,absences,attendance_percentage,prev_sem_attendance,trend,risk_label
STU0100,1,SUB1,19,16,3,87.75,82.0,improving,SAFE
STU0100,2,SUB1,22,19,3,89.92,82.0,improving,SAFE
STU0100,3,SUB1,18,16,2,91.04,82.0,improving,SAFE
STU0100,4,SUB5,19,16,3,89.45,82.0,improving,SAFE
STU0100,5,SUB2,22,20,2,93.9,82.0,improving,SAFE
STU0100,6,SUB5,23,22,1,96.33,82.0,improving,SAFE
STU0101,1,SUB2,18,14,4,78.62,71.0,declining,SAFE
STU0101,2,SUB3,20,15,5,77.24,71.0,declining,SAFE
STU0101,3,SUB3,24,18,6,78.14,71.0,declining,SAFE
STU0101,4,SUB1,21,16,5,77.73,71.0,declining,SAFE
STU0101,5,SUB5,20,15,5,75.15,71.0,declining,SAFE
STU0101,6,SUB4,18,13,5,74.96,71.0,declining,WARNING
STU0102,1,SUB5,23,13,10,57.45,76.8,declining,HIGH_RISK
STU0102,2,SUB5,20,10,10,54.73,76.8,declining,HIGH_RISK
STU0102,3,SUB1,18,10,8,56.02,76.8,declining,HIGH_RISK
STU0102,4,SUB3,24,12,12,52.42,76.8,declining,HIGH_RISK
STU0102,5,SUB2,24,11,13,48.5,76.8,declining,HIGH_RISK
STU0102,6,SUB3,21,9,12,47.59,76.8,declining,HIGH_RISK
STU0103,1,SUB3,23,14,9,60.96,72.7,declining,HIGH_RISK
STU0103,2,SUB1,23,13,10,58.89,72.7,declining,HIGH_RISK
STU0103,3,SUB5,19,10,9,57.75,72.7,declining,HIGH_RISK
STU0103,4,SUB4,19,10,9,55.62,72.7,declining,HIGH_RISK
STU0103,5,SUB5,23,13,10,56.65,72.7,declining,HIGH_RISK
STU0103,6,SUB1,20,11,9,57.02,72.7,declining,HIGH_RISK
STU0104,1,SUB2,18,16,2,90.72,61.5,improving,SAFE
STU0104,2,SUB3,22,20,2,93.36,61.5,improving,SAFE
STU0104,3,SUB4,21,19,2,92.07,61.5,improving,SAFE
STU0104,4,SUB4,23,22,1,96.93,61.5,improving,SAFE
STU0104,5,SUB2,19,17,2,93.19,61.5,improving,SAFE
STU0104,6,SUB3,22,21,1,99.32,61.5,improving,SAFE
STU0105,1,SUB2,19,17,2,92.51,87.4,declining,SAFE
STU0105,2,SUB1,18,16,2,91.08,87.4,declining,SAFE
STU0105,3,SUB2,19,16,3,88.23,87.4,declining,SAFE
STU0105,4,SUB5,21,18,3,86.85,87.4,declining,SAFE
STU0105,5,SUB5,21,19,2,90.63,87.4,declining,SAFE
STU0105,6,SUB3,22,17,5,81.64,87.4,declining,SAFE
STU0106,1,SUB3,22,18,4,84.92,98.6,improving,SAFE
STU0106,2,SUB1,20,17,3,87.56,98.6,improving,SAFE
STU0106,3,SUB4,19,16,3,87.07,98.6,improving,SAFE
STU0106,4,SUB3,23,19,4,86.27,98.6,improving,SAFE
STU0106,5,SUB2,24,22,2,94.04,98.6,improving,SAFE
STU0106,6,SUB3,18,16,2,91.82,98.6,improving,SAFE
STU0107,1,SUB2,24,18,6,79.1,92.1,stable,SAFE
STU0107,2,SUB5,24,19,5,81.42,92.1,stable,SAFE
STU0107,3,SUB3,22,18,4,83.7,92.1,stable,SAFE
STU0107,4,SUB3,18,14,4,81.12,92.1,stable,SAFE
STU0107,5,SUB3,24,20,4,83.46,92.1,stable,SAFE
STU0107,6,SUB5,19,15,4,79.62,92.1,stable,SAFE
STU0108,1,SUB5,24,21,3,88.2,97.3,improving,SAFE
STU0108,2,SUB4,19,17,2,89.77,97.3,improving,SAFE
STU0108,3,SUB3,19,17,2,92.23,97.3,improving,SAFE
STU0108,4,SUB4,22,20,2,91.64,97.3,improving,SAFE
STU0108,5,SUB2,22,21,1,96.2,97.3,improving,SAFE
STU0108,6,SUB3,21,20,1,95.89,97.3,improving,SAFE
STU0109,1,SUB3,18,13,5,72.9,71.9,stable,WARNING
STU0109,2,SUB2,22,15,7,71.54,71.9,stable,WARNING
STU0109,3,SUB1,18,13,5,74.94,71.9,stable,WARNING
STU0109,4,SUB2,18,13,5,75.66,71.9,stable,SAFE
STU0109,5,SUB3,18,12,6,71.82,71.9,stable,WARNING
STU0109,6,SUB3,19,13,6,71.84,71.9,stable,WARNING
STU0110,1,SUB5,22,17,5,79.77,83.4,improving,SAFE
STU0110,2,SUB4,24,19,5,80.61,83.4,improving,SAFE
STU0110,3,SUB1,19,15,4,83.32,83.4,improving,SAFE
STU0110,4,SUB3,21,16,5,80.77,83.4,improving,SAFE
STU0110,5,SUB1,21,17,4,83.86,83.4,improving,SAFE
STU0110,6,SUB1,23,20,3,87.25,83.4,improving,SAFE
STU0111,1,SUB2,19,13,6,71.76,53.0,stable,WARNING
STU0111,2,SUB2,21,14,7,67.73,53.0,stable,WARNING
STU0111,3,SUB4,20,13,7,69.12,53.0,stable,WARNING
STU0111,4,SUB4,18,12,6,68.09,53.0,stable,WARNING
STU0111,5,SUB5,24,17,7,71.44,53.0,stable,WARNING
STU0111,6,SUB5,23,15,8,67.18,53.0,stable,WARNING
STU0112,1,SUB4,19,18,1,96.61,91.8,improving,SAFE
STU0112,2,SUB4,19,18,1,97.29,91.8,improving,SAFE
STU0112,3,SUB4,19,19,0,100.0,91.8,improving,SAFE
STU0112,4,SUB3,21,20,1,96.85,91.8,improving,SAFE
STU0112,5,SUB4,24,24,0,100.0,91.8,improving,SAFE
STU0112,6,SUB5,23,23,0,100.0,91.8,improving,SAFE
STU0113,1,SUB5,18,10,8,60.71,83.1,declining,HIGH_RISK
STU0113,2,SUB3,18,10,8,58.45,83.1,declining,HIGH_RISK
STU0113,3,SUB4,22,13,9,59.9,83.1,declining,HIGH_RISK
STU0113,4,SUB5,24,13,11,56.64,83.1,declining,HIGH_RISK
STU0113,5,SUB1,22,12,10,57.98,83.1,declining,HIGH_RISK
STU0113,6,SUB5,18,9,9,50.99,83.1,declining,HIGH_RISK
STU0114,1,SUB2,22,16,6,74.27,53.4,improving,WARNING
STU0114,2,SUB5,18,13,5,75.1,53.4,improving,SAFE
STU0114,3,SUB5,23,17,6,74.23,53.4,improving,WARNING
STU0114,4,SUB3,20,15,5,77.75,53.4,improving,SAFE
STU0114,5,SUB3,23,17,6,76.39,53.4,improving,SAFE
STU0114,6,SUB2,21,16,5,77.51,53.4,improving,SAFE
STU0115,1,SUB1,18,13,5,72.77,83.6,declining,WARNING
STU0115,2,SUB1,22,15,7,72.29,83.6,declining,WARNING
STU0115,3,SUB5,19,13,6,72.83,83.6,declining,WARNING
STU0115,4,SUB1,20,14,6,71.07,83.6,declining,WARNING
STU0115,5,SUB3,20,13,7,65.57,83.6,declining,WARNING
STU0115,6,SUB5,24,16,8,70.24,83.6,declining,WARNING
STU0116,1,SUB1,22,21,1,99.15,85.2,stable,SAFE
STU0116,2,SUB3,22,21,1,98.31,85.2,stable,SAFE
STU0116,3,SUB2,18,17,1,99.9,85.2,stable,SAFE
STU0116,4,SUB5,18,17,1,95.89,85.2,stable,SAFE
STU0116,5,SUB5,20,19,1,95.24,85.2,stable,SAFE
STU0116,6,SUB2,20,19,1,95.57,85.2,stable,SAFE
STU0117,1,SUB1,24,18,6,75.86,84.4,declining,SAFE
STU0117,2,SUB3,21,15,6,75.46,84.4,declining,SAFE
STU0117,3,SUB2,20,15,5,75.03,84.4,declining,SAFE
STU0117,4,SUB2,20,14,6,70.91,84.4,declining,WARNING
STU0117,5,SUB4,22,15,7,68.67,84.4,declining,WARNING
STU0117,6,SUB1,18,12,6,68.68,84.4,declining,WARNING
STU0118,1,SUB3,24,22,2,94.14,97.3,stable,SAFE
STU0118,2,SUB4,19,17,2,94.36,97.3,stable,SAFE
STU0118,3,SUB3,20,18,2,91.63,97.3,stable,SAFE
STU0118,4,SUB1,24,23,1,96.26,97.3,stable,SAFE
STU0118,5,SUB2,19,18,1,96.26,97.3,stable,SAFE
STU0118,6,SUB5,20,18,2,94.87,97.3,stable,SAFE
STU0119,1,SUB2,19,18,1,95.25,94.2,declining,SAFE
STU0119,2,SUB2,24,22,2,92.95,94.2,declining,SAFE
STU0119,3,SUB2,18,16,2,91.41,94.2,declining,SAFE
STU0119,4,SUB4,20,18,2,90.46,94.2,declining,SAFE
STU0119,5,SUB2,24,21,3,88.36,94.2,declining,SAFE
STU0119,6,SUB1,24,21,3,91.47,94.2,declining,SAFE
STU0120,1,SUB4,24,22,2,92.75,69.1,improving,SAFE
STU0120,2,SUB2,24,22,2,93.97,69.1,improving,SAFE
STU0120,3,SUB2,23,21,2,94.42,69.1,improving,SAFE
STU0120,4,SUB1,20,19,1,96.31,69.1,improving,SAFE
STU0120,5,SUB3,20,20,0,100.0,69.1,improving,SAFE
STU0120,6,SUB5,21,21,0,100.0,69.1,improving,SAFE
STU0121,1,SUB5,19,11,8,61.92,66.6,improving,HIGH_RISK
STU0121,2,SUB1,20,12,8,63.85,66.6,improving,HIGH_RISK
STU0121,3,SUB3,21,13,8,61.95,66.6,improving,HIGH_RISK
STU0121,4,SUB4,20,13,7,66.33,66.6,improving,WARNING
STU0121,5,SUB1,22,14,8,67.01,66.6,improving,WARNING
STU0121,6,SUB2,22,14,8,66.43,66.6,improving,WARNING
STU0122,1,SUB5,24,17,7,73.87,62.7,stable,WARNING
STU0122,2,SUB2,23,17,6,74.87,62.7,stable,WARNING
STU0122,3,SUB3,18,13,5,72.94,62.7,stable,WARNING
STU0122,4,SUB1,23,17,6,74.49,62.7,stable,WARNING
STU0122,5,SUB5,20,15,5,75.07,62.7,stable,SAFE
STU0122,6,SUB3,21,15,6,72.61,62.7,stable,WARNING
STU0123,1,SUB4,23,17,6,78.05,70.1,declining,SAFE
STU0123,2,SUB5,19,14,5,75.81,70.1,declining,SAFE
STU0123,3,SUB5,21,15,6,74.78,70.1,declining,WARNING
STU0123,4,SUB3,20,14,6,71.84,70.1,declining,WARNING
STU0123,5,SUB5,24,17,7,74.76,70.1,declining,WARNING
STU0123,6,SUB4,20,14,6,70.38,70.1,declining,WARNING
STU0124,1,SUB2,24,15,9,64.03,72.1,stable,HIGH_RISK
STU0124,2,SUB5,20,13,7,65.14,72.1,stable,WARNING
STU0124,3,SUB3,22,14,8,65.17,72.1,stable,WARNING
STU0124,4,SUB2,24,14,10,61.75,72.1,stable,HIGH_RISK
STU0124,5,SUB2,19,12,7,65.23,72.1,stable,WARNING
STU0124,6,SUB2,18,11,7,62.07,72.1,stable,HIGH_RISK
STU0125,1,SUB5,21,18,3,88.98,99.2,stable,SAFE
STU0125,2,SUB4,23,20,3,89.71,99.2,stable,SAFE
STU0125,3,SUB2,19,17,2,91.5,99.2,stable,SAFE
STU0125,4,SUB1,18,16,2,92.48,99.2,stable,SAFE
STU0125,5,SUB2,19,17,2,93.21,99.2,stable,SAFE
STU0125,6,SUB5,23,21,2,93.36,99.2,stable,SAFE
STU0126,1,SUB2,21,14,7,67.81,73.2,stable,WARNING
STU0126,2,SUB5,23,15,8,67.52,73.2,stable,WARNING
STU0126,3,SUB3,22,15,7,68.64,73.2,stable,WARNING
STU0126,4,SUB5,21,14,7,68.42,73.2,stable,WARNING
STU0126,5,SUB4,22,14,8,67.61,73.2,stable,WARNING
STU0126,6,SUB4,22,14,8,67.7,73.2,stable,WARNING
STU0127,1,SUB2,24,22,2,91.74,94.9,stable,SAFE
STU0127,2,SUB5,20,18,2,94.08,94.9,stable,SAFE
STU0127,3,SUB3,19,17,2,91.95,94.9,stable,SAFE
STU0127,4,SUB3,23,21,2,91.68,94.9,stable,SAFE
STU0127,5,SUB3,20,18,2,90.45,94.9,stable,SAFE
STU0127,6,SUB2,18,16,2,94.4,94.9,stable,SAFE
STU0128,1,SUB4,18,14,4,83.28,57.5,declining,SAFE
STU0128,2,SUB4,22,18,4,82.62,57.5,declining,SAFE
STU0128,3,SUB4,19,15,4,81.47,57.5,declining,SAFE
STU0128,4,SUB5,24,19,5,80.5,57.5,declining,SAFE
STU0128,5,SUB5,18,13,5,75.24,57.5,declining,SAFE
STU0128,6,SUB3,18,14,4,78.42,57.5,declining,SAFE
STU0129,1,SUB5,21,18,3,89.77,64.9,declining,SAFE
STU0129,2,SUB5,22,19,3,88.46,64.9,declining,SAFE
STU0129,3,SUB2,21,18,3,86.16,64.9,declining,SAFE
STU0129,4,SUB1,21,18,3,88.06,64.9,declining,SAFE
STU0129,5,SUB4,23,19,4,86.28,64.9,declining,SAFE
STU0129,6,SUB4,24,19,5,82.18,64.9,declining,SAFE
STU0130,1,SUB5,22,17,5,80.41,96.0,stable,SAFE
STU0130,2,SUB4,18,14,4,78.95,96.0,stable,SAFE
STU0130,3,SUB2,21,15,6,75.78,96.0,stable,SAFE
STU0130,4,SUB3,21,15,6,75.27,96.0,stable,SAFE
STU0130,5,SUB3,20,15,5,76.24,96.0,stable,SAFE
